"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Thailand","2010","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2012","65981659",""
"Thailand","2010","Total","Both Sexes","0","Census - de jure - complete tabulation","Final figure, complete","2012","725109.9",""
"Thailand","2010","Total","Both Sexes","0 - 4","Census - de jure - complete tabulation","Final figure, complete","2012","3739868",""
"Thailand","2010","Total","Both Sexes","1","Census - de jure - complete tabulation","Final figure, complete","2012","685633.4",""
"Thailand","2010","Total","Both Sexes","2","Census - de jure - complete tabulation","Final figure, complete","2012","748600",""
"Thailand","2010","Total","Both Sexes","3","Census - de jure - complete tabulation","Final figure, complete","2012","793795.9",""
"Thailand","2010","Total","Both Sexes","4","Census - de jure - complete tabulation","Final figure, complete","2012","786728.7",""
"Thailand","2010","Total","Both Sexes","5","Census - de jure - complete tabulation","Final figure, complete","2012","808377.1",""
"Thailand","2010","Total","Both Sexes","5 - 9","Census - de jure - complete tabulation","Final figure, complete","2012","4081644",""
"Thailand","2010","Total","Both Sexes","6","Census - de jure - complete tabulation","Final figure, complete","2012","798346.7",""
"Thailand","2010","Total","Both Sexes","7","Census - de jure - complete tabulation","Final figure, complete","2012","808895.1",""
"Thailand","2010","Total","Both Sexes","8","Census - de jure - complete tabulation","Final figure, complete","2012","821836.5",""
"Thailand","2010","Total","Both Sexes","9","Census - de jure - complete tabulation","Final figure, complete","2012","844188.4",""
"Thailand","2010","Total","Both Sexes","10","Census - de jure - complete tabulation","Final figure, complete","2012","906356.5",""
"Thailand","2010","Total","Both Sexes","10 - 14","Census - de jure - complete tabulation","Final figure, complete","2012","4864280",""
"Thailand","2010","Total","Both Sexes","11","Census - de jure - complete tabulation","Final figure, complete","2012","880023.4",""
"Thailand","2010","Total","Both Sexes","12","Census - de jure - complete tabulation","Final figure, complete","2012","993754",""
"Thailand","2010","Total","Both Sexes","13","Census - de jure - complete tabulation","Final figure, complete","2012","1049742.9",""
"Thailand","2010","Total","Both Sexes","14","Census - de jure - complete tabulation","Final figure, complete","2012","1034402.9",""
"Thailand","2010","Total","Both Sexes","15","Census - de jure - complete tabulation","Final figure, complete","2012","997437",""
"Thailand","2010","Total","Both Sexes","15 - 19","Census - de jure - complete tabulation","Final figure, complete","2012","4900590",""
"Thailand","2010","Total","Both Sexes","16","Census - de jure - complete tabulation","Final figure, complete","2012","937673",""
"Thailand","2010","Total","Both Sexes","17","Census - de jure - complete tabulation","Final figure, complete","2012","963589.2",""
"Thailand","2010","Total","Both Sexes","18","Census - de jure - complete tabulation","Final figure, complete","2012","1035326",""
"Thailand","2010","Total","Both Sexes","19","Census - de jure - complete tabulation","Final figure, complete","2012","966564.4",""
"Thailand","2010","Total","Both Sexes","20","Census - de jure - complete tabulation","Final figure, complete","2012","1038850.9",""
"Thailand","2010","Total","Both Sexes","20 - 24","Census - de jure - complete tabulation","Final figure, complete","2012","4691520",""
"Thailand","2010","Total","Both Sexes","21","Census - de jure - complete tabulation","Final figure, complete","2012","923892.8",""
"Thailand","2010","Total","Both Sexes","22","Census - de jure - complete tabulation","Final figure, complete","2012","921375",""
"Thailand","2010","Total","Both Sexes","23","Census - de jure - complete tabulation","Final figure, complete","2012","909190.6",""
"Thailand","2010","Total","Both Sexes","24","Census - de jure - complete tabulation","Final figure, complete","2012","898210.4",""
"Thailand","2010","Total","Both Sexes","25","Census - de jure - complete tabulation","Final figure, complete","2012","1032774.4",""
"Thailand","2010","Total","Both Sexes","25 - 29","Census - de jure - complete tabulation","Final figure, complete","2012","5092597",""
"Thailand","2010","Total","Both Sexes","26","Census - de jure - complete tabulation","Final figure, complete","2012","947736.5",""
"Thailand","2010","Total","Both Sexes","27","Census - de jure - complete tabulation","Final figure, complete","2012","1010368.1",""
"Thailand","2010","Total","Both Sexes","28","Census - de jure - complete tabulation","Final figure, complete","2012","1075215.5",""
"Thailand","2010","Total","Both Sexes","29","Census - de jure - complete tabulation","Final figure, complete","2012","1026502.4",""
